region,position,plot,Date(mm/dd/yy),mass_g,max_ht_cm,cover_pct
western_gb,UR,4,6/8/2016,12.13,43,60
western_gb,LL,4,6/8/2016,9.87,51,65
western_gb,UR,5,6/14/2016,2.48,37,15
western_gb,LL,5,6/14/2016,1.01,37,2
western_gb,UR,6,6/14/2016,0.27,50,2
western_gb,LL,6,6/14/2016,2.54,37,12
western_gb,UL,9,6/15/2016,5.95,30,25
utah,UR,3,6/22/2016,1.93,43,40
utah,LL,3,6/22/2016,0.06,30,2
western_gb,UR,13,6/23/2016,5.95,45,25
western_gb,LL,13,6/23/2016,1.75,47,10
idaho,UR,2,6/30/2016,5.74,24,90
idaho,LL,2,6/30/2016,16.21,46,100
idaho,UR,3,6/30/2016,0.61,17,3
idaho,LL,3,6/30/2016,1.51,31,37
idaho,UR,4,6/30/2016,2.19,14,5
idaho,UR,5,7/7/2016,7.96,46,55
idaho,UR,6,7/7/2016,2.57,26,6
idaho,UR,7,7/7/2016,8.78,27,23
idaho,UR,8,7/7/2016,4.4,36,15
idaho,LL,9,7/7/2016,11.85,42,72
idaho,UR,10,7/7/2016,0.12,14,3
idaho,UR,11,7/7/2016,6.75,33,78
idaho,LL,11,7/7/2016,0.32,26,6
idaho,LL,12,7/7/2016,1.57,30,13
idaho,UR,12,7/7/2016,14.26,35,78
idaho,LL,13,7/7/2016,2.24,35,14
idaho,UR,13,7/7/2016,0.57,24,10
western_gb,UR,14,7/7/2016,10.01,49,65
western_gb,LL,14,7/7/2016,1.28,0,0
western_gb,UR,15,7/8/2016,3.05,37,25
western_gb,LL,15,7/8/2016,1.56,54,10
western_gb,LL,16,7/8/2016,9.4,44,80
western_gb,LL,17,7/9/2016,5.36,41,95
idaho,UR,22,7/10/2016,3.42,54,72
idaho,LL,22,7/10/2016,8.68,35,81
idaho,UR,23,7/10/2016,8.47,29,90
idaho,LL,23,7/10/2016,5.2,41,62
idaho,UR,24,7/10/2016,5.68,30,28
idaho,LL,24,7/10/2016,2.07,28,11
idaho,UR,25,7/10/2016,2.88,36,65
idaho,LL,25,7/10/2016,1.14,24,30
idaho,UR,26,7/10/2016,13.07,31,58
idaho,LL,26,7/10/2016,8.94,19,30
idaho,UR,27,7/10/2016,5.29,29,48
idaho,UR,28,7/10/2016,7.26,32,60
idaho,LL,28,7/10/2016,0.52,16,12
idaho,LL,29,7/10/2016,0.3,34,11
idaho,UR,29,7/10/2016,6.79,33,53
idaho,UR,30,7/10/2016,4.07,33,40
idaho,LL,30,7/10/2016,1.66,26,20
idaho,LL,38,7/11/2016,3.45,22,13
idaho,UR,46,7/11/2016,0.34,31,68
idaho,LL,46,7/11/2016,7.31,27,76
idaho,UR,47,7/11/2016,0.31,20,8
idaho,LL,47,7/11/2016,1.26,22,9
idaho,UR,48,7/11/2016,2.9,27,46
idaho,UR,49,7/11/2016,0.99,22,48
idaho,LL,49,7/11/2016,3.39,27,42
idaho,UR,50,7/11/2016,7.47,31,62
idaho,LL,50,7/11/2016,5.07,32,93
idaho,UR,58,7/11/2016,0.93,28,21
idaho,LL,58,7/11/2016,1.71,34,53
idaho,UR,59,7/11/2016,4.24,37,56
idaho,LL,59,7/11/2016,7.09,36,74
idaho,UR,60,7/11/2016,1.04,18,7
idaho,LL,60,7/11/2016,0.53,41,13
idaho,UR,61,7/11/2016,0.24,36,35
idaho,LL,61,7/11/2016,6.08,39,49
western_gb,LL,20,8/16/2016,13.5,53,75
western_gb,UR,20,8/16/2016,0.16,20,1
western_gb,LL,21,8/16/2016,10.07,54,50
western_gb,UR,21,8/16/2016,0.5,45,2
western_gb,UR,22,8/16/2016,0.53,27,1
western_gb,LL,22,8/16/2016,7.89,34,55
western_gb,UR,23,8/16/2016,1.7,45,25
western_gb,LL,24,8/17/2016,1.31,34,20
western_gb,UR,24,8/17/2016,6.68,28,90
western_gb,UR,25,8/17/2016,2.76,35,20
western_gb,LL,25,8/17/2016,9.19,44,60
western_gb,UR,26,8/17/2016,4.57,49,40
western_gb,UR,27,8/17/2016,8.35,46,70
western_gb,LL,27,8/17/2016,1.2,71,1
western_gb,LL,28,8/17/2016,3.53,48,35
western_gb,UR,28,8/17/2016,0.3,53,1
western_gb,UR,29,8/17/2016,6.04,42,40
western_gb,UR,30,8/17/2016,2.55,29,55
western_gb,UR,31,8/18/2016,10.36,29,80
western_gb,LL,32,8/19/2016,0.17,26,1
western_gb,UR,32,8/19/2016,9.74,44,90
western_gb,UR,33,8/19/2016,1.86,8,50
western_gb,LL,33,8/19/2016,0.43,18,3
western_gb,LL,34,8/19/2016,4.37,26,65
western_gb,UR,34,8/19/2016,3.18,40,80