plot,elevation,aspect,slope,Soil Type,Latitude,Longitude
cg_1,1568,57,4,Haplic Kastanozems,42.74,-116.32
cg_2,1568,57,4,Haplic Kastanozems,42.74,-116.32
cg_3,1568,57,4,Haplic Kastanozems,42.74,-116.32
cg_4,1568,57,4,Haplic Kastanozems,42.73,-116.32
cg_5,1518,62,4,Haplic Kastanozems,42.74,-116.31
cg_6,1518,62,4,Haplic Kastanozems,42.74,-116.31
cg_7,1518,62,4,Haplic Kastanozems,42.74,-116.31
cg_8,1518,62,4,Haplic Kastanozems,42.74,-116.31
cg_9,1454,63,1,Haplic Kastanozems,42.75,-116.31
cg_10,1454,63,1,Haplic Kastanozems,42.75,-116.31
cg_11,1454,63,1,Haplic Kastanozems,42.75,-116.31
cg_12,1454,63,1,Haplic Kastanozems,42.75,-116.31
cg_13,1385,17,5,Haplic Luvisols,42.76,-116.29
cg_14,1385,17,5,Haplic Luvisols,42.76,-116.29
cg_15,1244,56,3,Haplic Cambisols,42.77,-116.26
cg_16,1244,56,3,Haplic Cambisols,42.77,-116.26
cg_17,1183,95,2,Haplic Luvisols,42.78,-116.24
cg_18,1183,95,2,Haplic Luvisols,42.78,-116.24
cg_19,1183,95,2,Haplic Luvisols,42.78,-116.24
cg_20,1183,95,2,Haplic Luvisols,42.78,-116.24
cg_21,820,153,1,Haplic Luvisols,43.06,-116.35
cg_22,820,153,1,Haplic Luvisols,43.06,-116.35
cg_23,1195,64,1,Haplic Cambisols,42.96,-116.49
cg_24,1195,64,1,Haplic Cambisols,42.96,-116.49
cg_25,1195,64,1,Haplic Kastanozems,42.96,-116.5
cg_26,1195,64,1,Haplic Kastanozems,42.96,-116.5
cg_27,1219,55,2,Haplic Cambisols,42.96,-116.5
cg_28,1219,55,2,Haplic Cambisols,42.96,-116.5
cg_29,1195,64,1,Haplic Cambisols,42.96,-116.5
cg_30,1246,59,2,Haplic Kastanozems,42.95,-116.5
cg_31,1246,59,2,Haplic Kastanozems,42.95,-116.5
cg_32,1234,64,2,Haplic Kastanozems,42.95,-116.5
cg_33,1234,64,2,Haplic Kastanozems,42.95,-116.5
cg_34,1296,39,3,Haplic Kastanozems,42.94,-116.52
cg_35,1296,39,3,Haplic Kastanozems,42.94,-116.52
cg_36,1274,56,3,Haplic Kastanozems,42.94,-116.51
cg_37,1274,56,3,Haplic Kastanozems,42.94,-116.51
cg_38,1234,64,2,Haplic Kastanozems,42.95,-116.5
cg_39,1234,64,2,Haplic Kastanozems,42.95,-116.5
cg_40,1234,64,2,Haplic Kastanozems,42.95,-116.5
F10-3-051,1509,91,5,Haplic Luvisols,41.16,-117.72
F00-0-XX8,1396,294,0,Haplic Cambisols,41.05,-117.01
F00-1-004,1424,277,1,Haplic Cambisols,41,-116.99
F00-3-019,1427,263,1,Haplic Cambisols,40.99,-116.97
F01-0-037,1573,166,3,Haplic Kastanozems,41.2,-116.86
F01-1-XX9,1467,183,3,Haplic Cambisols,41.18,-116.91
F01-2-X10,1469,180,3,Haplic Cambisols,41.18,-116.9
F02-0-097,1515,299,4,Haplic Luvisols,40.65,-117.9
F02-1-XX6,1437,221,2,Haplic Luvisols,40.69,-117.92
F02-2-XX7,1453,227,2,Haplic Cambisols,40.69,-117.91
F02-3-XX5,1437,221,2,Haplic Luvisols,40.69,-117.92
F03-0-116,1524,149,1,Haplic Cambisols,41,-116.77
F03-3-111,1686,117,6,Haplic Kastanozems,41.02,-116.82
F04-1-120,1269,268,2,Haplic Cambisols,41.59,-118.08
F04-2-125,1321,268,6,Haplic Cambisols,41.59,-118.08
F04-3-134,1321,268,6,Haplic Luvisols,41.59,-118.08
F05-1-X11,1600,158,1,Haplic Luvisols,40.98,-116.83
F05-1-ZZ1,1568,9,2,Haplic Solonetz,40.98,-116.82
F05-2-149,1580,65,1,Haplic Kastanozems,40.98,-116.83
F05-3-154,1633,127,3,Haplic Kastanozems,40.99,-116.84
F06-0-XX1,1461,269,5,Haplic Luvisols,41.18,-117.81
F06-1-160,1461,269,5,Haplic Luvisols,41.18,-117.81
F06-2-165,1466,274,5,Calcic Solonetz,41.19,-117.81
F06-3-173,1335,270,2,Haplic Luvisols,41.19,-117.83
F10-0-XX4,1456,107,3,Haplic Solonetz,41.17,-117.71
F10-1-XX3,1450,98,3,Haplic Luvisols,41.16,-117.72
F10-2-XX2,1450,98,3,Haplic Solonetz,41.16,-117.72
F04-0-139,1272,249,1,Haplic Cambisols,41.67,-118.13
BM_01_S,1614,204,1,Haplic Kastanozems,41.29,-117.08
BM_02_G,1363,141,2,Haplic Cambisols,41.03,-117.35
BM_03_S,1495,94,3,Haplic Cambisols,41.2,-117.4
BM_04_G,1371,108,2,Haplic Cambisols,41.12,-117.7
BM_05_G,1393,91,2,Haplic Solonetz,41.19,-117.69
BM_06_G,1364,81,1,Haplic Luvisols,41.27,-117.69
BM_07_S,1372,146,2,Calcic Solonetz,41.31,-117.69
BM_08_S,1518,235,3,Haplic Luvisols,41.35,-117.73
BM_09_G,1419,267,4,Haplic Cambisols,41.41,-117.79
BM_10_S,1431,236,2,Haplic Cambisols,41.37,-117.76
BM_11_G,1426,263,3,Haplic Kastanozems,41.61,-117.77
BM_12_S,1455,269,5,Haplic Kastanozems,41.61,-117.75
BM_13_G,1345,297,1,Haplic Luvisols,41.69,-117.78
BM_14_S,1342,292,1,Haplic Cambisols,41.71,-117.77
BM_15_S,1302,47,1,Haplic Cambisols,41.62,-118.24
BM_16_G,1297,73,1,Haplic Luvisols,41.64,-118.24
BM_17_G,1365,124,2,Haplic Cambisols,41.69,-117.96
BM_18_S,1392,261,4,Haplic Kastanozems,41.54,-117.77
BM_19_S,1350,78,1,Haplic Cambisols,41.04,-117.72
BM_20_S,1477,50,4,Haplic Kastanozems,40.98,-117.58
BM_21_G,1334,360,2,Haplic Cambisols,41.03,-117.6
BM_22_G,1387,107,5,Haplic Cambisols,41.02,-117.73
BM_23_S,1276,246,0,Haplic Cambisols,41.14,-117.85
BM_24_G,1277,243,0,Haplic Cambisols,41.16,-117.87
BM_25_S,1428,297,2,Haplic Cambisols,40.97,-117.69
BM_26_G,1387,240,1,Haplic Cambisols,40.72,-117.7
BM_27_S,1441,260,2,Haplic Cambisols,40.66,-117.65
BM_28_G,1349,25,2,Haplic Luvisols,40.87,-117.87
BM_29_S,1415,281,5,Haplic Kastanozems,40.86,-117.74
BM_30_G,1491,281,10,Haplic Calcisols,40.86,-117.73
BM_31_G,1338,156,3,Haplic Luvisols,40.98,-117.75
BM_32_G,1387,268,2,Haplic Cambisols,41.03,-117.48
BM_33_G,1364,301,2,Haplic Cambisols,41.08,-117.47
BM_34_S,1356,211,3,Haplic Luvisols,41.1,-117.5
BM_35_S,1448,301,3,Haplic Luvisols,41.1,-117.42
BM_36_S,1485,96,2,Haplic Cambisols,41.19,-117.4
BM_37_G,1450,255,6,Haplic Cambisols,40.81,-117.73
BM_38_S,1510,231,4,Haplic Luvisols,40.77,-117.7
BM_39_G,1343,313,2,Haplic Kastanozems,40.97,-117.72
BM_40_S,1389,142,3,Haplic Luvisols,40.97,-117.91
J01,1467,66,1,Haplic Cambisols,41.21,-117.39
J02,1644,239,5,Haplic Luvisols,40.78,-117.68
J03,1544,273,2,Haplic Cambisols,40.49,-117.57
J06,1360,296,2,Haplic Cambisols,41.71,-117.76
J07,1599,247,1,Haplic Calcisols,41.22,-117.04
J08,1528,327,3,Haplic Luvisols,40.97,-117.65
J10,1418,86,3,Haplic Luvisols,41.26,-117.71
J11,1412,177,4,Haplic Cambisols,41.31,-117.69
J12,1477,50,4,Haplic Kastanozems,40.98,-117.58
J13,1392,261,4,Haplic Kastanozems,41.54,-117.77
J14,1302,47,1,Haplic Cambisols,41.62,-118.24
J16,1505,99,4,Haplic Cambisols,41.23,-117.4
J18,1426,257,3,Haplic Kastanozems,41.54,-117.76
J22,1516,287,3,Haplic Cambisols,41.17,-117.4
J23,1536,278,11,Haplic Kastanozems,40.86,-117.73
J24,1293,74,1,Haplic Luvisols,41.64,-118.24
J25,1441,79,2,Haplic Cambisols,41.24,-117.38
J26,1444,110,2,Haplic Cambisols,41.28,-117.38
J27,1462,124,5,Haplic Kastanozems,41.35,-117.62
J28,1387,200,1,Haplic Luvisols,40.69,-117.96
