,plot,latitude,longitude,slope,aspect,date,sample_year,type,a_grass_cover,p_grass_cover,forb_cover,forb_gm2,a_grass_gm2,p_grass_gm2
2,bm_01_s,41.287979,-117.08293,6,258,07/11/2018,2018,shrub,0.4,10.8,0.1,0.3,1.5,29.62
4,bm_02_g,41.03275,-117.3472,1,108,07/11/2018,2018,grass,21.6,0,4.6,15.02,122.58,0
6,bm_03_s,41.19685,-117.39631,3,80,07/11/2018,2018,shrub,3.9,11.2,0.9,0.5,10.52,32.78
8,bm_04_g,41.11985,-117.70377,1,70,07/10/2018,2018,grass,11,0,0.6,24.82,100.56,0
10,bm_05_g,41.18649,-117.69196,2,100,07/09/2018,2018,grass,7.6,0,7,10.56,52.6,0
12,bm_06_g,41.27274,-117.68672,1,70,07/09/2018,2018,grass,9.2,0,4.6,32.26,63.18,0
14,bm_07_s,41.3116,-117.68929,4,208,07/09/2018,2018,shrub,3.2,4.8,1.2,2.56,10.74,17.12
16,bm_08_s,41.34872,-117.72833,4,231,07/09/2018,2018,shrub,2.6,4.2,4,8.26,17.98,19.72
18,bm_09_g,41.40956,-117.7868,5,248,07/09/2018,2018,grass,17.6,0.1,8,27.14,106.22,0.46
20,bm_10_s,41.36963,-117.75826,4,226,07/09/2018,2018,shrub,0.7,8.2,0.2,0.36,0.82,18.16
22,bm_11_g,41.61427,-117.76736,4,252,07/08/2018,2018,grass,10,3.2,0,6.22,35.88,0
24,bm_12_s,41.60935,-117.7543,5,202,07/08/2018,2018,shrub,6.6,3.1,0.7,1.36,19.52,1.38
26,bm_13_g,41.68896,-117.7774,1,312,07/08/2018,2018,grass,11.6,0.8,2.1,1.58,36.54,1.5
28,bm_14_s,41.71459,-117.76859,1,23,07/08/2018,2018,shrub,2,9.8,0.2,0.28,3.78,22.82
30,bm_15_s,41.62133,-118.24458,1,100,07/08/2018,2018,shrub,7,0,0.4,0.06,61.94,0
32,bm_16_g,41.63688,-118.244,1,88,07/08/2018,2018,grass,13.8,0,6,17.52,91.98,0
34,bm_17_g,41.69444,-117.96001,2,313,07/08/2018,2018,grass,21.8,0.4,1.9,11.76,90.34,0.02
36,bm_18_s,41.54023,-117.76968,4,313,07/09/2018,2018,shrub,15.3,1.6,0.6,0.76,63.32,6.16
38,bm_19_s,41.04498,-117.7167,4,330,07/10/2018,2018,shrub,9.8,4.6,0.8,0.84,113.46,29.62
40,bm_20_s,40.9824,-117.57502,4,46,07/12/2018,2018,shrub,22.9,3.4,0.5,0.36,121.18,8.02
42,bm_21_g,41.02617,-117.60491,1,43,07/12/2018,2018,grass,16,0,3.3,18.28,71.38,0
44,bm_22_g,41.01912,-117.73097,3,62,07/10/2018,2018,grass,14.4,0,4.4,5.66,108.94,0
46,bm_23_s,41.14278,-117.85424,1,253,07/10/2018,2018,shrub,3.2,0,0.8,5.2,44.14,0
48,bm_24_g,41.16172,-117.86927,1,238,07/10/2018,2018,grass,7,0,5.8,47.04,50.96,0
50,bm_25_s,40.9676,-117.68658,1,298,07/12/2018,2018,shrub,2.5,6.4,1.3,4.34,5.88,11.7
52,bm_26_g,40.7179,-117.70259,1,246,07/07/2018,2018,grass,23,0,0.4,2.9,103.36,0
54,bm_27_s,40.65774,-117.64825,3,222,07/07/2018,2018,shrub,11.8,0,0,0,79.38,0
56,bm_28_g,40.87222,-117.87117,1,44,07/07/2018,2018,grass,11.6,0,10.1,0,62.26,0
58,bm_29_s,40.86378,-117.73678,4,261,07/07/2018,2018,shrub,7.2,2.4,0,0,45.4,3.2
60,bm_30_g,40.86491,-117.72707,5,310,07/07/2018,2018,grass,16.4,2.8,2.6,49.06,183.86,11.14
62,bm_31_g,40.97877,-117.75452,4,165,07/10/2018,2018,grass,8,0,1.2,24.88,43.16,0.22
64,bm_32_g,41.02912,-117.47858,1,266,07/11/2018,2018,grass,16,0,4.4,56.4,78.9,0
66,bm_33_g,41.07722,-117.46854,1,284,07/11/2018,2018,grass,18.2,0,3.8,40.92,84.72,0
68,bm_34_s,41.10189,-117.49716,3,202,07/11/2018,2018,shrub,11.8,0,0.2,1.76,73.7,0
70,bm_35_s,41.10234,-117.42302,3,294,07/11/2018,2018,shrub,0.5,9.1,0.1,0,1.3,26.2
72,bm_36_s,41.19389,-117.39859,3,145,07/11/2018,2018,shrub,0.3,7,0.8,0.54,0.46,26.56
74,bm_37_g,40.81308,-117.7272,2,245,07/07/2018,2018,grass,17,0,1.2,12.6,134.12,0
76,bm_38_s,40.77374,-117.6989,3,246,07/07/2018,2018,shrub,1.6,7.6,0,0,2.6,42
78,bm_39_g,40.96922,-117.7236,4,182,07/10/2018,2018,grass,11.2,0,2.6,14.64,61.56,0
80,bm_40_s,40.97277,-117.90706,2,187,07/10/2018,2018,shrub,5.2,0,5,29.84,67.9,0
1,bm_01_s,41.287979,-117.08293,6,258,07/11/2017,2017,shrub,1.3,6.7,0.5,1.3,11.56,45.66
3,bm_02_g,41.03275,-117.3472,1,108,07/11/2017,2017,grass,17.8,0,2.6,18.82,126.22,0
5,bm_03_s,41.19685,-117.39631,3,80,07/11/2017,2017,shrub,4,5.2,2.2,4.86,31.66,27.24
7,bm_04_g,41.11985,-117.70377,1,70,07/12/2017,2017,grass,8,1.6,0,40.76,69.8,13.04
9,bm_05_g,41.18649,-117.69196,2,100,07/13/2017,2017,grass,17.2,0,5.8,8.7,88.24,0
11,bm_06_g,41.27274,-117.68672,1,70,07/12/2017,2017,grass,11.8,0.2,1.8,18.56,69.36,0.16
13,bm_07_s,41.3116,-117.68929,4,208,07/12/2017,2017,shrub,1,0.6,3.2,12.48,2.22,1.04
15,bm_08_s,41.34872,-117.72833,4,231,07/12/2017,2017,shrub,1.6,4.4,0.5,1.78,16.28,13.56
17,bm_09_g,41.40956,-117.7868,5,248,07/12/2017,2017,grass,16.8,0.1,9.9,63.72,147.36,0.18
19,bm_10_s,41.36963,-117.75826,4,226,07/13/2017,2017,shrub,0.5,7.6,4.1,19.28,1.3,11.62
21,bm_11_g,41.61427,-117.76736,4,252,07/13/2017,2017,grass,13.1,1.8,2.508,2.36,89.22,3.08
23,bm_12_s,41.60935,-117.7543,5,202,07/13/2017,2017,shrub,5.2,4.2,3.3,15.46,21.1,8.08
25,bm_13_g,41.68896,-117.7774,1,312,07/13/2017,2017,grass,6.2,4.2,6.3,12.92,37.78,7.38
27,bm_14_s,41.71459,-117.76859,1,23,07/13/2017,2017,shrub,1,10.4,4.1,8.4,13.16,34.32
29,bm_15_s,41.62133,-118.24458,1,100,07/14/2017,2017,shrub,6.5,0,0,0.98,62.28,0
31,bm_16_g,41.63688,-118.244,1,88,07/14/2017,2017,grass,15,0,9.4,107.26,118.36,0
33,bm_17_g,41.69444,-117.96001,2,313,07/14/2017,2017,grass,5,6.4,5.4,27.34,48.42,34.84
35,bm_18_s,41.54023,-117.76968,4,313,07/14/2017,2017,shrub,10.2,4.1,3.1,2.76,58.9,10.5
37,bm_19_s,41.04498,-117.7167,4,330,07/14/2017,2017,shrub,9.6,2.2,2.6,4.28,36.68,20.1
39,bm_20_s,40.9824,-117.57502,4,46,07/14/2017,2017,shrub,9.5,7,1.6,1.34,63.12,14.96
41,bm_21_g,41.02617,-117.60491,1,43,07/15/2017,2017,grass,21.8,0,2.1,16.76,127.6,0
43,bm_22_g,41.01912,-117.73097,3,62,07/15/2017,2017,grass,21.4,0.2,2.4,2.6,158.88,0.24
45,bm_23_s,41.14278,-117.85424,1,253,07/15/2017,2017,shrub,6.2,0,0,0,25.62,0
47,bm_24_g,41.16172,-117.86927,1,238,07/15/2017,2017,grass,13,0,2,11.42,67.76,0
49,bm_25_s,40.9676,-117.68658,1,298,07/15/2017,2017,shrub,4.1,5.6,5.5,19.68,7.48,11.88
51,bm_26_g,40.7179,-117.70259,1,246,07/16/2017,2017,grass,15.6,0,5.2,16.16,97.2,0
53,bm_27_s,40.65774,-117.64825,3,222,07/16/2017,2017,shrub,17.4,0,0,0,147.94,0
55,bm_28_g,40.87222,-117.87117,1,44,07/16/2017,2017,grass,19.2,0,8.6,41.76,123.98,0
57,bm_29_s,40.86378,-117.73678,4,261,07/16/2017,2017,shrub,17.4,1.2,0.1,0.36,87.9,1.48
59,bm_30_g,40.86491,-117.72707,5,310,07/16/2017,2017,grass,24,1.5,0.1,1,161.44,4.88
61,bm_31_g,40.97877,-117.75452,4,165,07/16/2017,2017,grass,27,1,1,0.92,115.98,3.24
63,bm_32_g,41.02912,-117.47858,1,266,07/17/2017,2017,grass,13,0,4.8,22.8,101.82,0
65,bm_33_g,41.07722,-117.46854,1,284,07/17/2017,2017,grass,16.6,0,4.4,40.04,152.66,0
67,bm_34_s,41.10189,-117.49716,3,202,07/17/2017,2017,shrub,10.6,0,0.9,6.58,78.4,0
69,bm_35_s,41.10234,-117.42302,3,294,07/17/2017,2017,shrub,2,9,0.2,0.02,2.08,27.14
71,bm_36_s,41.19389,-117.39859,3,145,07/17/2017,2017,shrub,0.9,5.4,2.9,4.82,2.6,19.16
73,bm_37_g,40.81308,-117.7272,2,245,07/17/2017,2017,grass,22.6,0,7,73.14,150.48,0
75,bm_38_s,40.77374,-117.6989,3,246,07/17/2017,2017,shrub,1.8,12.9,0.5,0.24,6.08,104.58
77,bm_39_g,40.96922,-117.7236,4,182,07/18/2017,2017,grass,31,0,0.1,0.92,146.42,0
79,bm_40_s,40.97277,-117.90706,2,187,07/18/2017,2017,shrub,17.2,0,6,10.12,115.06,0
