mass_g,plot,region,position,date,max_ht_cm,cover_pct,"UTMx (NAD11 ID and west, NAD12 UT)","UTMx (NAD11 ID and west, NAD12 UT)"
23.58,2,idaho,lower left,06-07-2017,49,80,540791,4755970
0.3,3,idaho,upper right,06-07-2017,28,20,540847,4756004
0.44,3n,idaho,lower left,06-16-2017,35,15,536889,4750320
3.12,3n,idaho,upper right,06-16-2017,29,50,536889,4750320
3.41,5n,idaho,lower left,06-16-2017,36,50,536642,4750376
0.26,5n,idaho,upper right,06-16-2017,20,1,536642,4750376
0.08,6,idaho,lower left,07-01-2016,12,1,540335,4718595
1.83,6,idaho,upper right,07-01-2016,52,5,540335,4718595
0.81,9,idaho,lower left,07-01-2017,25,30,541401,4719315
0.26,11,idaho,lower left,06-30-2017,50,1,541897,4719490
0.29,11,idaho,upper right,06-30-2017,22,1,541897,4719490
0.81,12,idaho,lower left,06-30-2017,33,25,541902,4719466
0.56,12,idaho,upper right,06-30-2017,20,2,541902,4719466
0.64,13,idaho,upper right,06-30-2017,28,10,541885,4719478
0.2,13,idaho,lower left,06-30-2017,24,2,541885,4719478
7.66,22,idaho,lower left,06-16-2017,59,60,559283,4735235
2.07,22,idaho,upper right,06-16-2017,34,50,559283,4735235
2.22,24,idaho,lower left,06-16-2017,27,70,559269,4735194
2.9,24,idaho,upper right,06-16-2017,37,60,559269,4735194
1.88,25,idaho,upper right,06-16-2017,50,25,559278,4735180
0.41,25,idaho,lower left,06-16-2017,30,35,559278,4735180
2.58,26,idaho,upper right,06-16-2017,38,35,559264,4735173
4.21,26,idaho,lower left,06-16-2017,40,45,559264,4735173
3.09,46,idaho,upper right,06-13-2017,39,30,561336,4736316
2.36,46,idaho,lower left,06-13-2017,29,25,561336,4736316
1.25,47,idaho,lower left,06-13-2017,34,45,561346,4736297
1.09,47,idaho,upper right,06-13-2017,22,25,561346,4736297
1.14,48,idaho,lower left,06-13-2017,25,55,561357,4736280
1.42,48,idaho,upper right,06-13-2017,31,95,561357,4736280
8.14,58,idaho,upper right,06-13-2017,32,60,562948,4738495
0.44,58,idaho,lower left,06-13-2017,19,15,562948,4738495
8.22,59,idaho,upper right,06-13-2017,46,85,562963,4738495
10.69,59,idaho,lower left,06-13-2017,48,70,562963,4738495
1.57,60,idaho,lower left,06-13-2017,26,60,562979,4738496
0.51,60,idaho,upper right,06-13-2017,30,20,562979,4738496
0.5,61,idaho,upper right,06-13-2017,17,15,562994,4738490
3.72,61,idaho,lower left,06-13-2017,25,50,562994,4738490
0.44,4,utah,upper right,05-29-2017,10,40,394548,4432431
0.1,6,utah,upper right,05-29-2017,13,3,394620,4432675
0.15,8,utah,upper right,05-29-2017,13,1,394762,4432742
1.78,8,utah,lower left,05-29-2017,34,70,394762,4432742
1.12,12,utah,upper right,05-29-2017,17,25,394410,4432355
3.87,13,utah,upper right,05-29-2017,12,60,394427,4432258
0.43,13,utah,lower left,05-29-2017,17,2,394427,4432258
9.51,14,utah,upper right,05-29-2017,44,80,394400,4432146
0.75,15,utah,lower left,05-29-2017,27,50,394373,4432073
3.72,15,utah,upper right,05-29-2017,39,65,394373,4432073
0.38,20,utah,upper right,05-29-2017,28,40,394636,4432896
0.45,22,utah,lower left,05-30-2017,22,25,390211,4437309
0.37,22,utah,upper right,05-30-2017,14,10,390211,4437309
0.33,24,utah,upper right,05-30-2017,27,30,390249,4437578
0.08,26,utah,upper right,05-30-2017,18,3,389659,4436320
2.11,26,utah,lower left,05-30-2017,32,25,389659,4436320
0.98,28,utah,upper right,05-30-2017,21,25,389506,4435192
0.92,28,utah,lower left,05-30-2017,20,1,389506,4435192
1.75,30,utah,upper right,05-30-2017,20,30,390149,4434549
2.07,30,utah,lower left,05-30-2017,36,75,390149,4434549
3.72,32,utah,upper right,06-18-2017,30,75,393719,4439070
1.11,32,utah,lower left,06-18-2017,31,25,393719,4439070
1.48,34,utah,lower left,06-18-2017,34,20,393580,4438797
2.89,34,utah,upper right,06-18-2017,30,35,393580,4438797
5.99,36,utah,lower left,06-18-2017,29,85,394277,4440215
7.09,36,utah,upper right,06-18-2017,43,95,394277,4440215
5.59,38,utah,upper right,06-18-2017,26,98,394410,4440577
5.52,38,utah,lower left,06-18-2017,43,70,394410,4440577
2.91,40,utah,lower left,06-18-2017,15,50,394662,4440472
2.65,40,utah,upper right,06-18-2017,25,50,394662,4440472
2.72,42,utah,lower left,06-18-2017,36,60,394574,4440186
5.72,42,utah,upper right,06-18-2017,26,80,394574,4440186
0.31,44,utah,lower left,06-18-2017,28,3,393466,4438324
1.72,44,utah,upper right,06-18-2017,32,45,393466,4438324
0.4,47,utah,lower left,06-20-2017,41,25,391100,4435043
6.48,47,utah,upper right,06-20-2017,30,95,391100,4435043
1.8,49,utah,upper right,06-20-2017,33,30,391077,4434704
0.89,56,utah,upper right,06-20-2017,31,45,389406,4434428
18.58,57,utah,lower left,06-20-2017,67,100,386973,4436121
4.9,57,utah,upper right,06-20-2017,41,60,386973,4436121
0.12,58,utah,lower left,06-20-2017,12,5,384393,4436972
10.38,59,utah,lower left,06-20-2017,55,45,378696,4430343
44.69,61,utah,upper right,06-20-2017,71,50,371997,4429680
11.05,62,utah,upper right,06-20-2017,65,60,372146,4429773
43.68,62,utah,lower left,06-20-2017,70,100,372146,4429773
7.28,64,utah,upper right,06-20-2017,37,40,372858,4429732
1.08,66,utah,upper right,06-27-2017,55,35,398791,4432132
4.92,66,utah,lower left,06-27-2017,40,30,398791,4432132
2.11,67,utah,upper right,06-27-2017,60,45,399064,4432400
1.13,71,utah,upper right,06-27-2017,23,50,398443,4431796
1.58,73,utah,upper right,06-27-2017,23,45,398503,4431593
2.4,4,western_gb,upper left,06-08-2017,37,70,340717,4273663
7.27,5,western_gb,lower right,06-18-2017,36,80,298989,4273059
1.18,5,western_gb,upper left,06-18-2017,39,15,298981,4273068
4.36,6,western_gb,lower right,06-18-2017,44,60,299038,4273054
1.99,6,western_gb,upper left,06-18-2017,41,55,299028,4273068
0.37,7,western_gb,lower right,06-18-2017,13,25,300050,4272260
1.22,7,western_gb,upper left,06-18-2017,23,5,300041,4272268
0.11,8,western_gb,lower right,06-18-2017,14,1,300041,4272268
0.3,8,western_gb,upper left,06-18-2017,12,1,300029,4272279
1.11,10,western_gb,lower right,06-08-2017,10,25,340794,4276269
0.21,10,western_gb,upper left,06-08-2017,17,5,340783,4276279
0.64,13,western_gb,lower right,06-08-2017,20,30,341364,4268321
1.85,13,western_gb,upper left,06-08-2017,30,70,341355,4268332
0.63,14,western_gb,upper left,06-08-2017,12,35,340931,4270893
3.19,15,western_gb,lower right,06-17-2017,62,75,299963,4226203
9.33,15,western_gb,upper left,06-17-2017,53,25,299960,4226219
4.85,16,western_gb,lower right,06-17-2017,21,80,298870,4226083
3.75,20,western_gb,lower right,06-18-2017,33,20,300756,4271260
1.44,20,western_gb,upper left,06-18-2017,51,5,300749,4271265
13.58,21,western_gb,lower right,06-18-2017,47,70,300751,4271277
8.29,21,western_gb,upper left,06-18-2017,32,45,300745,4271288
3.84,22,western_gb,lower right,06-18-2017,23,40,300333,4272054
0.04,22,western_gb,upper left,06-18-2017,20,4,300332,4272062
2.24,23,western_gb,upper left,06-18-2017,24,10,300308,4272045
2.24,24,western_gb,lower right,06-18-2017,16,5,299986,4272360
1.24,24,western_gb,upper left,06-18-2017,20,10,299975,4272371
3.01,25,western_gb,lower right,06-18-2017,24,40,300009,4272378
2.55,25,western_gb,upper left,06-18-2017,24,30,300001,4272385
0.33,26,western_gb,lower right,06-18-2017,27,1,303497,4269508
6.1,26,western_gb,upper left,06-18-2017,34,10,303490,4269616
15.01,29,western_gb,upper left,06-17-2017,21,85,300595,4225507
5.29,30,western_gb,upper left,06-17-2017,36,22,300585,4225530
2.91,31,western_gb,lower right,06-17-2017,19,90,298479,4226000
0.32,31,western_gb,upper left,06-17-2017,20,5,298472,4226009